Anio,Trimestre,Empresa,NombreCorto,NombreLargo,SIC,NAICS,Activos,Inventarios,PasivoCirc,PasivoLP,PPE,CPP,Efectivo,GC,CBV,UOAD,Ventas,IGR,Deuda,CPC,GO,GVGA,Precio_Accion,mkt_capital,No_Acciones
2015,1,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,236457.889,30388.728,68758.596,101701.589,93446.837,33101.282,22883.746,2760.903076,48937.62891,4443.466797,61041.26563,1210.994019,82684.96875,30394.31445,56597.79688,7660.167969,117733.536,158142.6,1.343224755
2015,2,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,239802.761,31940.426,68389.002,108784.81,96583.837,36517.07,17614.821,2505.666016,50251.11719,7166.85791,64673.30859,1182.333984,89095.85938,31504.64258,57506.44922,7255.332031,160651.7,154189.035,0.959772197
2015,3,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,265987.424,34672.051,68613.366,118506.181,104009.464,39081.865,23790.677,3227.759033,53390.71094,6514.876953,67352.96875,1238.256958,96301.77344,35320.20313,60838.09375,7447.382813,27547.356,168822.885,6.128460568
2015,4,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,266705.418,34128.477,62965.763,123924.54,106376.179,38914.625,24851.839,3337.633057,51732.38672,5931.862793,65232.19922,1224.462036,102392.1797,33476.33594,59300.33594,7567.949219,19564.502,174609.05,8.924788886
2016,1,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,292239.788,35061.914,68404.279,139323.893,124047.422,38748.674,18995.399,3758.39209,52584.01563,6760.719238,68627.5625,1739.363037,117804.6563,38844.60938,61866.84375,9282.828125,24609.473,177630.145,7.217958101
2016,2,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,314293.049,38173.75,72410.774,152413.645,132155.044,43185.702,21097.435,4524.778809,55227.55859,7443.666016,73118.74219,1637.571045,129381.7422,42119.47266,65675.07813,10447.51953,116773.065,161193.34,1.380398296
2016,3,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,327782.743,39465.993,77987.542,156762.248,138069.871,47905.614,22655.13,5988.696777,58837.50391,6274.986816,75322.69531,1687.813965,132519.2031,44250.52734,69047.71094,10210.20703,181427.4,154946.33,0.854040404
2016,4,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,348938.705,40922.625,83006.062,164944.504,149502.89,53729.127,24633.236,7954.268066,59773.09766,3734.312988,76713.07813,1344.911011,138046.1094,41283.72656,72978.76563,13205.66797,16530.327,131596.85,7.960934469
2017,1,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,329198.428,41186.382,82414.445,154231.021,141775.495,50420.99,20285.772,5556.90918,64555.14063,5977.106934,81381.25781,2485.138916,128987.4453,40742.57031,75404.14844,10849.00781,12278.872,140301.7,11.42626945
2017,2,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,324414.413,39714.314,82171.019,149205.896,139569.649,50675.453,19598.159,4156.930176,63543.03516,5136.957031,78665.45313,1859.093994,124870.9922,40185.94141,73528.5,9985.464844,22525.302,132211.31,5.869457821
