Anio,Trimestre,anio_trim,Empresa,NombreCorto,NombreLargo,SIC,NAICS,Activos,Inventarios,PasivoCirc,PasivoLP,PPE,CPP,Efectivo,GC,CBV,UOAD,Ventas,IGR,Deuda,CPC,GO,GVGA,Precio_Accion,mkt_capital,No_Acciones,num_acciones,precio_acciones,capitalización,activos_totales,tasa_activos_trimtrim,tasa_activos_trimanual,pasivos_totales,capital_ppe,tasa_capital_trimtrim,tasa_capital_trimanual
2018,1,2018-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,"160,154",,31016.2,40853.285,44449.176,,,,,,,,,,,,,,,"1,342,196,100",124.78,167479229358.00,"160,154,492,000.00",-4.80,13.86,"71,869,485,000.00","44,449,176,000.00",1.35,23.28700966
2018,2,2018-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,162743.536,,31285.842,39367.623,45225.971,,,,,,,,,,,,,,,"1,342,196,100",138.31,185639142591.00,"162,743,536,000.00",1.62,8.46,"70,653,465,000.00","45,225,971,000.00",1.75,4.692546757
2018,3,2018-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,162626.317,,30195.314,38999.159,46352.924,,,,,,,,,,,,,,,"1,342,196,100",128.73,172780903953.00,"162,626,317,000.00",-0.07,3.92,"69,194,473,000.00","46,352,924,000.00",2.49,5.851951121
2018,4,2018-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,174622.774,,34351.998,39570.487,47115.104,,,,,,,,,,,,,,,"1,342,196,100",125.22,168069795642.00,"174,622,774,000.00",7.38,3.80,"73,922,485,000.00","47,115,104,000.00",1.64,7.431676717
2019,1,2019-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,179134.981,,30958.608,48455.932,47330.1,,,,,,,,,,,,,,,"1,342,196,100",122.72,164714305392.00,"179,134,981,000.00",2.58,11.85,"79,414,540,000.00","47,330,100,000.00",0.46,6.481388991
2019,2,2019-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,185673.378,,37676.593,46078.379,48379.799,,,,,,,,,,,,,,,"1,342,196,100",93.08,124931612988.00,"185,673,378,000.00",3.65,14.09,"83,754,972,000.00","48,379,799,000.00",2.22,6.973488751
2019,3,2019-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,186654.437,,36535.487,46641.79,49599.458,,,,,,,,,,,,,,,"1,342,196,100",98.02,131562061722.00,"186,654,437,000.00",0.53,14.78,"83,177,277,000.00","49,599,458,000.00",2.52,7.003946504
2019,4,2019-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,200561.867,,38794.456,52692.87,50255.601,,,,,,,,,,,,,,,"1,342,196,100",99.84,134004858624.00,"200,561,867,000.00",7.45,14.85,"91,487,326,000.00","50,255,601,000.00",1.32,6.665584353
2020,1,2020-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,200381.629,,"35,307.52",56000.228,49902.736,,,,,,,,,,,,,,,"1,342,196,100",60.71,81484725231.00,"200,381,629,000.00",-0.09,11.86,"91,307,749,000.00","49,902,736,000.00",-0.70,5.435517778
2020,2,2020-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,187477.823,,26996.58,55423.434,50157.635,,,,,,,,,,,,,,,"1,342,196,100",54.56,73230219216.00,"187,477,823,000.00",-6.44,0.97,"82,420,014,000.00","50,157,635,000.00",0.51,3.674748628
2020,3,2020-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,201066.53,,36839.435,58999.14,50686.187,,,,,,,,,,,,,,,"1,342,196,100",57.09,76625975349.00,"201,066,530,000.00",7.25,7.72,"95,838,575,000.00","50,686,187,000.00",1.05,2.191009829
2020,4,2020-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,204843.372,,39369.098,57654.243,50684.928,,,,,,,,,,,,,,,"1,342,196,100",65.51,87927266511.00,"204,843,372,000.00",1.88,2.13,"97,023,341,000.00","50,684,928,000.00",0.00,0.854286868
