ingreso,gasto
25.36405,17.88718
92.45901,77.50140
17.38491,0.71352
41.21631,18.74968
18.73524,17.38712
81.31172,61.70953
35.60820,20.01208
142.45848,57.84872
99.47769,51.68054
307.60877,78.61337
159.74235,118.77635
13.59486,5.93468
67.67801,37.34033
68.27536,41.64635
38.25894,22.34768
35.35513,11.21639
59.72382,57.00447
21.63933,22.52440
33.87641,25.39957
33.68118,36.70313
21.15736,14.98775
17.51311,49.19092
107.34290,48.07448
67.41237,37.15252
29.16590,16.76605
46.85677,53.67799
7.31485,8.54455
10.40163,9.64481
24.34425,11.30598
17.80327,23.08971
17.76884,20.52530
104.83410,27.27800
42.02906,13.13175
19.70257,9.08293
44.28039,22.93058
17.02996,10.08971
46.72576,15.73993
37.77977,11.37981
79.75892,22.36366
27.73999,36.96769
24.70480,22.75516
25.70724,18.78792
118.19094,33.77974
72.63933,70.10625
12.26927,10.10664
54.27535,27.47007
105.71254,24.05348
6.38857,2.26352
93.23733,33.57928
23.19502,12.70601
36.90486,12.38465
28.17084,18.58293
50.38324,19.58963
79.45209,50.75057
59.26916,13.02514
51.80760,15.74381
90.76416,57.16186
27.53594,25.70936
62.63900,19.87039
12.54283,4.80715
90.74502,38.58514
100.69670,46.59996
146.61616,82.42775
94.62295,54.79251
58.27865,42.45237
57.29507,47.58929
149.55470,35.76055
33.84102,16.81253
22.47293,8.72710
74.90590,34.61299
62.05798,52.28326
637.91094,274.96475
88.68293,48.94210
26.41655,4.26810
58.66782,35.72246
22.98910,22.47775
9.94669,8.30328
61.25804,28.13485
49.64267,29.81923
116.80206,44.77288
11.59776,20.35370
10.24017,0.89140
53.46507,80.92696
23.72367,61.06616
46.59431,18.77740
24.59016,36.25614
21.35165,14.66456
114.79601,51.97479
56.36864,23.15281
40.73113,19.60377
29.50574,4.88606
63.23665,10.28188
47.57976,29.25755
47.13795,22.36436
26.08958,21.70228
16.33847,4.22026
56.73162,22.97624
31.29012,12.38123
71.51567,30.41720
32.72438,14.51515
33.07212,12.08175
90.28955,32.70925
274.66564,55.53245
31.40372,15.99121
195.24342,149.85162
11.85489,68.80145
89.08217,25.98202
61.93048,35.72987
